rank	bare	toned
920	gbalẹ	gbálẹ̀
921	erongba	èròǹgbà
923	apilẹkọ	àpilẹ̀kọ
926	ogbo	ògbo
927	idanimọ	ìdánimọ̀
928	ifun	ìfun
929	ẹwu	ẹ̀wù
932	eera	èèrà
933	aaya	àáyá
934	ọṣọ	ọ̀ṣọ́
935	burẹdi	búrẹ́dì
936	okunfa	okùnfà
937	dada	dàda
938	agbajọ	àgbájọ
939	ireke	ìrèké
940	aaye	ààyè
941	ifọwọsowọpọ	ìfọwọ́sowọ́pọ̀
942	ẹrẹkẹ	ẹ̀rẹ̀kẹ́
945	ọpẹlẹ	ọ̀pẹ̀lẹ̀
946	ipolowo	ìpolówó
948	fere	fèrè
949	ofofo	òfófó
951	ijakadi	ìjàkadì
952	ijanu	ìjánu
953	pẹpẹyẹ	pẹ́pẹ́yẹ
956	patapata	pátápátá
957	ifura	ìfura
959	aworo	àwòrò
960	igala	ìgalà
961	ẹburu	ẹ̀bùrú
962	ọdalẹ	ọ̀dàlẹ̀
963	eefin	èéfín
964	talaka	tálákà
966	ajao	àjàò
968	ewi	ewì
969	abuda	àbùdá
970	akojọ	àkójọ
972	idahun	ìdáhùn
973	gbọngan	gbọ̀ngàn
975	riran	ríran
979	ibomiran	ibòmíràn
980	daju	dájú
981	nipasẹ	nípasẹ̀
982	asia	àsíá
983	ojojo	òjòjò
984	olugbe	olùgbé
987	ẹẹkan	ẹ̀ẹ̀kan
988	akala	àkàlà
989	ọọdunrun	ọ̀ọ́dúnrún
990	odidẹrẹ	odídẹrẹ́
991	akeekee	àkéekèe
993	mọṣalaṣi	mọ́ṣáláṣí
995	abuke	abuké
996	ipọnju	ìpọ́njú
997	ipakọ	ìpàkọ́
998	oniṣango	oníṣàngó
999	araba	àràbà
1001	lafun	láfún
1002	oromọdiyẹ	òròmọdìyẹ
1004	aibikita	àìbìkítà
1007	ẹpa	ẹ̀pà
1008	aajo	aájò
1009	alumọni	àlùmọ́nì
1010	iwuye	ìwúyè
1011	ahere	ahéré
1012	mọto	mọ́tò
1014	ofu	òfú
1015	ọlẹlẹ	ọ̀lẹ̀lẹ̀
1016	ibikibi	ibikíbi
1017	owiwi	òwìwí
1018	agan	àgàn
1021	agbanrere	àgbáǹréré
1025	lapalapa	làpálàpá
1026	bura	búra
1028	ọgọta	ọgọ́ta
1029	ọbakan	ọbàkan
1030	dọbalẹ	dọ̀bálẹ̀
1034	atupa	àtùpà
1035	ikarahun	ìkarahun
1036	aha	ahá
1037	akoso	àkóso
1039	akewi	akéwì
1041	loke	lókè
1042	gangan	gángan
1043	ẹdọ	ẹ̀dọ̀
1044	yooku	yòókù
1046	okobo	òkóbó
1048	atari	àtàrí
1049	irọlẹ	ìrọ̀lẹ́
1050	wuwo	wúwo
1054	ọfiisi	ọ́fíìsì
1056	opopona	òpópónà
1058	eṣi	èṣí
1059	figagbaga	figagbága
1061	apaadi	àpáàdì
1062	agẹrẹ	àgẹ̀rẹ̀
1063	igbelarugẹ	ìgbélárugẹ
1064	pajawiri	pàjáwìrì
1066	oṣere	òṣèré
1067	dana	dáná
1068	ifọrọwanilẹnuwo	ìfọ̀rọ̀wánilẹ́nuwò
1069	bun	bùn
1070	aditi	adití
1072	asinwin	asínwín
1075	iwoyi	ìwòyí
1077	ajẹku	àjẹkù
1078	ẹbiti	ẹ̀bìtì
1080	ijimere	ìjímèrè
1081	labalaba	labalábá
1082	dubulẹ	dùbúlẹ̀
1084	afomọ	àfòmọ́
1085	parọ	parọ́
1086	ṣuga	ṣúgà
1087	agbako	àgbákò
1088	ṣeleri	ṣèlérí
1089	ọdaju	ọ̀dájú
1091	kolẹ	kólẹ̀
1092	awada	àwàdà
1094	aṣaro	àṣáró
1097	amọtẹkun	àmọ̀tẹ́kùn
1099	ẹlẹmu	ẹlẹ́mu
1102	adagun	adágún
1103	akalamagbo	àkàlàmàgbò
1104	irẹlẹ	ìrẹ̀lẹ̀
1105	ọyaya	ọ̀yàyà
1106	jere	jèrè
1113	kololo	kólòlò
1114	agabagebe	àgàbàgebè
1115	ramuramu	ramúramù
1116	okiti	òkìtì
1117	sanyan	sányán
1118	pagọ	pàgọ́
1119	alase	alásè
1120	afọwọfa	àfọwọ́fà
1121	arẹmọ	àrẹ̀mọ
1122	ojubọ	ojúbọ
1123	iṣakọlẹ	ìṣákọ́lẹ̀
1124	aṣeyọri	àṣeyọrí
1126	iṣo	ìṣó
1127	etitu	ètítú
1129	kare	káre
1130	igunpa	ìgúnpá
1131	rago	ràgó
1132	magun	mágùn
1133	irukẹrẹ	ìrùkẹ̀rẹ̀
1135	ikunlẹ	ìkúnlẹ̀
1136	iṣasun	ìṣasùn
1140	irọri	ìrọ̀rí
1141	lẹta	lẹ́tà
1142	agbẹdẹ	àgbẹ̀dẹ
1143	gbẹnagbẹna	gbẹ́nàgbẹ́nà
1144	koda	kódà
1146	ayeraye	ayérayé
1147	afin	àfín
1149	kaakiri	káàkiri
1150	isinmi	ìsinmi
1151	olugbeja	olùgbèjà
1153	ho	hó
1154	mẹkunnu	mẹ̀kúnnù
1155	aleefa	àlééfà
1156	adua	àdúà
1158	saba	sábà
1159	ipenija	ìpèníjà
1160	ojule	ojúlé
1161	imisi	ìmísí
1162	ọdọọdun	ọdọọdún
1163	irawọ	ìràwọ̀
1169	akasọ	àkàsọ̀
1170	kilomita	kìlómítà
1171	mẹtẹẹta	mẹ́tẹ̀ẹ̀ta
1174	ayafi	àyàfi
1177	ẹlu	ẹ̀lú
1178	loṣoo	lóṣòó
1179	ọdẹdẹ	ọ̀dẹ̀dẹ̀
1182	gbọgbẹ	gbọgbẹ́
1183	atẹlẹwọ	àtẹ́lẹwọ́
1185	ologinni	ológìnní
1186	irungbọn	irùngbọ̀n
1188	akukọ	àkùkọ
1189	pete	pète
1190	digbolugi	dìgbòlugi
1191	ookan	oókan
1192	gbẹdu	gbẹ̀du
1193	bẹẹrẹ	bẹ́ẹ́rẹ̀
1194	agbigbo	àgbìgbò
1195	saraa	sàráà
1196	ọgọ	ọ̀gọ̀
1197	awusa	awùsá
1199	mariwo	màrìwò
1200	yẹri	yẹ̀rì
1201	kunlẹ	kúnlẹ̀
1203	eegbọn	eégbọn
1206	ọfọn	ọ̀fọn
1207	otolo	òtòlò
1209	ogunna	ògúnná
1210	ibomii	ibòmíì
1213	mọmi	mọ́mì
1215	ọkanlelogun	ọ̀kànlélógún
1216	amofin	amòfin
1217	bikita	bìkítà
1218	jiroro	jíròrò
1219	adogan	àdògán
1221	eedu	èédú
1225	ikarawun	ìkarawun
1226	iwọntunwọnsi	ìwọ̀ntúnwọ̀nsì
1227	abẹla	àbẹ́là
1228	fadaka	fàdákà
1230	gbẹrun	gbẹ́run
1232	imọle	ìmọ̀le
1235	alufaa	àlùfáà
1239	telọ	télọ̀
1240	sinima	sinimá
1241	atọgbẹ	àtọ̀gbẹ
1242	ihoho	ìhòhò
1245	kẹrindinlogun	kẹrìndínlógún
1246	ibukun	ìbùkún
1251	taka	tàka
1253	ṣiyemeji	ṣiyèméjì
1255	isẹ	isẹ̀
1260	irinwo	irinwó
1262	popo	pópó
1263	nini	nìní
1265	ipẹ	ìpẹ́
1268	ijokoo	ìjókòó
1269	inaki	ìnàkí
1271	lọpọlọpọ	lọ́pọ̀lọ́pọ̀
1272	buba	bùbá
1276	faaji	fàájì
1277	ẹfuufu	ẹ̀fúùfù
1279	ọjẹ	ọ̀jẹ̀
1280	bulọọgu	búlọ́ọ̀gù
1283	ifasiti	ifásitì
1284	gongo	góńgó
1285	afonifoji	àfonífojì
1286	agbabọọlu	agbábọ́ọ̀lù
1287	gege	gègé
1288	mẹkunu	mẹ̀kúnù
1290	iṣẹṣe	ìṣẹ̀ṣe
1292	eweko	ewéko
1293	ipilẹṣẹ	ìpilẹ̀ṣẹ̀
1294	ariya	àríyá
1295	gaga	gágà
1299	kọsẹ	kọ̀sẹ̀
1300	mita	mítà
1301	gẹdu	gẹdú
1302	ajeji	àjèjì
1304	lọya	lọ́yà
1305	okotorobo	òkótòróbó
1306	iyẹwu	ìyẹ̀wù
1307	oloriṣa	olórìṣà
1308	ọnini	ọ̀níní
1309	gborin	gbórín
1310	ipenpeju	ìpéǹpéjú
1311	taba	tábà
1312	bọbọ	bọ̀bọ́
1315	furọ	fùrọ̀
1316	tolotolo	tòlótòló
1317	dandogo	dàńdógó
1318	ọọdẹ	ọ̀ọ̀dẹ̀
1320	oyo	òyo
1321	onigbajamọ	onígbàjámọ̀
1322	oorẹ	òòrẹ̀
1324	akurọ	àkùrọ̀
1325	dundun	dùndún
1327	ewuro	ewúro
1328	poṣe	pòṣé
1329	ojugun	ojúgun
