word	rtgs	tone	phonetics
ยอดเยี่ยม	yot-yiam	yɔ̂ɔt-yîiam	yôt-yîam
ยอม	yom	yɔɔm	yom
ยอมรับ	yom-rap	yɔɔm-ráp	yom-ráp
ยอมแพ้	yom-phae	yɔɔm-pɛ́ɛ	yom-pháe
ยักษ์	yak	yák	yák
ยัง	yang	yang	yang
ยังคง	yang khong	yang kong	yang khong
ยังไง	yang-ngai	yang-ngai	yang-ngai
ยัน	yan	yan	yan
ยับ	yap	yáp	yáp
ยัย	yai	yai	yai
ยา	ya	yaa	ya
ยาก	yak	yâak	yâk
ยากจน	yak-chon	yâak-jon	yâk-chon
ยาง	yang	yaang	yang
ยาชา	ya-cha	yaa-chaa	ya-cha
ยาน	yan	yaan	yan
ยานอนหลับ	ya-non-lap	yaa-nɔɔn-làp	ya-non-làp
ยานอวกาศ	yan-a-wa-kat	yaan-à-wá-gàat	yan-à-wá-kàt
ยาบ้า	ya-ba	yaa-bâa	ya-bâ
ยาพิษ	ya-phit	yaa-pít	ya-phít
ยาม	yam	yaam	yam
ยาย	yai	yaai	yai
ยาว	yao	yaao	yao
ยาวนาน	yao-nan	yaao-naan	yao-nan
ยาสีฟัน	ya-si-fan	yaa-sǐi-fan	ya-sǐ-fan
ยาหยี	ya-yi	yaa-yǐi	ya-yǐ
ยาเสพติด	ya-sep-tit	yaa-sèep-dtìt	ya-sèp-tìt
ยาแก้ปวด	ya-kae-puat	yaa-gɛ̂ɛ-bpùuat	ya-kâe-pùat
ยิง	ying	ying	ying
ยิน	yin	yin	yin
ยินดี	yin-di	yin-dii	yin-di
ยินดีต้อนรับ	yin-di ton-rap	yin-dii dtɔ̂ɔn-ráp	yin-dî ton-ráp
ยิบ	yip	yíp	yíp
ยิปซี	yip-si	yíp-sii	yíp-si
ยิม	yim	yim	yim
ยิว	yio	yiu	yio
ยิ่งใหญ่	ying-yai	yîng-yài	yîng-yài
ยิ้ม	yim	yím	yím
ยี	yi	yii	yi
ยีน	yin	yiin	yin
ยีนส์	yin	yiin	yin
ยีราฟ	yi-rap	yii-ráap	yi-ráp
ยี่	yi	yîi	yî
ยี่สิบ	yi-sip	yîi-sìp	yî-sìp
ยี่ห้อ	yi-ho	yîi-hɔ̂ɔ	yî-hô
ยึด	yuet	yʉ́t	yúet
ยืน	yuen	yʉʉn	yuen
ยืนยัน	yuen-yan	yʉʉn-yan	yuen-yan
ยืม	yuem	yʉʉm	yuem
ยุค	yuk	yúk	yúk
ยุง	yung	yung	yung
ยุติธรรม	yut-ti-tham	yút-dtì-tam	yút-tì-tham
ยุโรป	yu-rop	yú-ròop	yú-ròp
ยุ่ง	yung	yûng	yûng
ยุ่งเหยิง	yung-yoeng	yûng-yə̌əng	yûng-yǒeng
ยู	yu	yuu	yu
ยูนิคอร์น	yu-ni-khon	yuu-ní-kɔn	yu-ní-khon
ยูเครน	yu-khren	yuu-kreen	yu-khren
ยูโร	yu-ro	yuu-roo	yu-ro
ย่อหน้า	yo-na	yɔ̂ɔ-nâa	yô-nâ
ย่า	ya	yâa	yâ
ย่าง	yang	yâang	yâng
ย้าย	yai	yáai	yái
ย้ำ	yam	yám	yám
รด	rot	rót	rót
รถ	rot	rót	rót
รถกระบะ	rot-kra-ba	rót-grà-bà	rót-krà-bà
รถดับเพลิง	rot-dap-phloeng	rót-dàp-pləəng	rót-dàp-phloeng
รถติด	rot-tit	rót-dtìt	rót-tìt
รถตู้	rot-tu	rót-dtûu	rót-tû
รถถัง	rot-thang	rót-tǎng	rót-thǎng
รถบรรทุก	rot-ban-thuk	rót-ban-túk	rót-ban-thúk
รถบัส	rot-bat	rót-bát	rót-bát
รถพยาบาล	rot-pha-ya-ban	rót-pá-yaa-baan	rót-phá-ya-ban
รถยนต์	rot-yon	rót-yon	rót-yon
รถเมล์	rot-me	rót-mee	rót-me
รถไฟ	rot-fai	rót-fai	rót-fai
รถไฟใต้ดิน	rot-fai-tai-din	rót-fai-dtâi-din	rót-fai-tâi-din
รบกวน	rop-kuan	róp-guuan	róp-kuan
รวดเดียว	ruat-diao	rûuat-diao	rûat-diao
รวบรวม	ruap-ruam	rûuap-ruuam	rûap-ruam
รวม	ruam	ruuam	ruam
รวย	ruai	ruai	ruai
รสชาติ	rot-chat	rót-châat	rót-chât
รหัส	ra-hat	rá-hàt	rá-hàt
รหัสผ่าน	ra-hat-phan	rá-hàt-pàan	rá-hàt-phàn
รอ	ro	rɔɔ	ro
รอคอย	ro-khoi	rɔɔ-kɔɔi	ro-khoi
รอง	rong	rɔɔng	rong
รองประธาน	rong-pra-than	rɔɔng-bprà-taan	rong-prà-than
รองประธานาธิบดี	rong-pra-tha-na-thip-bo-di	rɔɔng-bprà-taa-naa-típ-bɔɔ-dii	rong-prà-tha-na-thíp-bo-di
รองเท้า	rong-thao	rɔɔng-táao	rong-tháo
รอด	rot	rɔ̂ɔt	rôt
รอน	ron	rɔɔn	ron
รอบ	rop	rɔ̂ɔp	rôp
รอบคอบ	rop-khop	rɔ̂ɔp-kɔ̂ɔp	rôp-khôp
รอย	roi	rɔɔi	roi
รอยยิ้ม	roi-yim	rɔɔi-yím	roi-yím
รอยสัก	roi-sak	rɔɔi-sàk	roi-sàk
รอยเท้า	roi-thao	rɔɔi-táao	roi-tháo
ระ	ra	rá	rá
ระงับ	ra-ngap	rá-ngáp	rá-ngáp
ระดับ	ra-dap	rá-dàp	rá-dàp
ระบบ	ra-bop	rá-bòp	rá-bòp
ระบบประสาท	ra-bop-pra-sat	rá-bòp-bprà-sàat	rá-bòp-prà-sàt
ระบาด	ra-bat	rá-bàat	rá-bàt
ระมัดระวัง	ra-mat-ra-wang	rá-mát-rá-wang	rá-mát-rá-wang
ระยะ	ra-ya	rá-yá	rá-yá
ระยะทาง	ra-ya-thang	rá-yá-taang	rá-yá-thang
ระยะห่าง	ra-ya-hang	rá-yá-hàang	rá-yá-hàng
ระยำ	ra-yam	rá-yam	rá-yam
ระวัง	ra-wang	rá-wang	rá-wang
ระหว่าง	ra-wang	rá-wàang	rá-wàng
ระเบิด	ra-boet	rá-bə̀ət	rá-bòet
ระเบิดมือ	ra-boet-mue	rá-bə̀ət-mʉʉ	rá-bòet-mue
ระเบียบ	ra-biap	rá-bìiap	rá-bìap
รัก	rak	rák	rák
รักษา	rak-sa	rák-sǎa	rák-sǎ
รัง	rang	rang	rang
รังเกียจ	rang-kiat	rang-gìiat	rang-kìat
รัชทายาท	rat-cha-tha-yat	rát-chá-taa-yâat	rát-chá-tha-yât
รัฐ	rat	rát	rát
รัฐบาล	rat-tha-ban	rát-tà-baan	rát-thà-ban
รัฐมนตรี	rat-tha-mon-tri	rát-tà-mon-dtrii	rát-thà-mon-tri
รับ	rap	ráp	ráp
รับประกัน	rap-pra-kan	ráp-bprà-gan	ráp-prà-kan
รับผิดชอบ	rap-phit-chop	ráp-pìt-chɔ̂ɔp	ráp-phìt-chôp
รับฟัง	rap-fang	ráp-fang	ráp-fang
รับมือ	rap-mue	ráp-mʉʉ	ráp-mue
รับรอง	rap-rong	ráp-rɔɔng	ráp-rong
รับใช้	rap-chai	ráp-chái	ráp-chái
รัศมี	rat-sa-mi	rát-sà-mǐi	rát-sà-mǐ
รัสเซีย	rat-sia	rát-siia	rát-sia
รั้ว	rua	rúua	rúa
รา	ra	raa	ra
ราก	rak	râak	râk
ราคา	ra-kha	raa-kaa	ra-kha
ราคาถูก	ra-kha-thuk	raa-kaa-tùuk	ra-kha-thùk
ราง	rang	raang	rang
รางวัล	rang-wan	raang-wan	rang-wan
ราช	rat	râat	rât
ราชสีห์	rat-cha-si	râat-chá-sǐi	rât-chá-sǐ
ราชา	ra-cha	raa-chaa	ra-cha
ราชินี	ra-chi-ni	raa-chí-nii	ra-chí-ni
ราตรี	ra-tri	raa-dtrii	ra-tri
ราตรีสวัสดิ์	ra-tri-sa-wat	raa-dtrii-sà-wàt	ra-tri-sà-wàt
ราพันเซล	ra-phan-sen	raa-pan-sel	ra-phan-sen
ราม	ram	raam	ram
ราย	rai	raai	rai
รายการ	rai-kan	raai-gaan	rai-kan
รายงาน	rai-ngan	raai-ngaan	rai-ngan
รายละเอียด	rai-la-iat	raai-lá-ìiat	rai-lá-ìat
รายได้	rai-dai	raai-dâai	rai-dâi
ราว	rao	raao	rao
ราเม็ง	ra-meng	raa-meng	ra-meng
รำคาญ	ram-khan	ram-kaan	ram-khan
ริ	ri	rí	rí
ริน	rin	rin	rin
ริม	rim	rim	rim
ริมฝีปาก	rim-fi-pak	rim-fǐi-bpàak	rim-fǐ-pàk
รี	ri	rii	ri
รีด	rit	rîit	rît
รีบ	rip	rîip	rîp
รีบร้อน	rip-ron	rîip-rɔ́ɔn	rîp-rón
รีสอร์ท	ri-sot	rii-sɔ̀ɔt	ri-sòt
รี่	ri	rîi	rî
รึ	rue	rʉ́	rúe
รุก	ruk	rúk	rúk
รุนแรง	run-raeng	run-rɛɛng	run-raeng
รุม	rum	rum	rum
รุ่น	run	rûn	rûn
รุ่นน้อง	run-nong	rûn-nɔ́ɔng	rûn-nóng
รุ่นพี่	run-phi	rûn-pîi	rûn-phî
รู	ru	ruu	ru
รูป	rup	rûup	rûp
รูปถ่าย	rup-thai	rûup-tàai	rûp-thài
รูปปั้น	rup-pan	rûup-bpân	rûp-pân
รูปภาพ	rup-phap	rûup-pâap	rûp-phâp
รูปร่าง	rup-rang	rûup-râang	rûp-râng
รูปหล่อ	rup-lo	rûup-lɔ̀ɔ	rûp-lò
รูปแบบ	rup-baep	rûup-bɛ̀ɛp	rûp-bàep
รู้	ru	rúu	rú
รู้จัก	ru-chak	rúu-jàk	rú-chàk
รู้สึก	ru-suek	rúu-sʉ̀k	rú-sùek
รู้สึกผิด	ru-suek-phit	rúu-sʉ̀k-pìt	rú-sùek-phìt
รู้เรื่อง	ru-rueang	rúu-rʉ̂ʉang	rú-rûeang
ร็อก	rok	rɔ́k	rók
ร่ม	rom	rôm	rôm
ร่มชูชีพ	rom-chu-chip	rôm-chuu-chîip	rôm-chu-chîp
ร่วม	ruam	rûuam	rûam
ร่วมกัน	ruam-kan	rûuam-gan	rûam-kan
ร่วมเพศ	ruam-phet	rûuam-pêet	rûam-phêt
ร่องรอย	rong-roi	rɔ̂ng-rɔɔi	rông-roi
ร่าง	rang	râang	râng
ร่างกาย	rang-kai	râang-gaai	râng-kai
ร่าน	ran	râan	rân
ร่าเริง	ra-roeng	râa-rəəng	râ-roeng
ร้อง	rong	rɔ́ɔng	róng
ร้องเพลง	rong-phleng	rɔ́ɔng-pleeng	róng-phleng
ร้องไห้	rong-hai	rɔ́ɔng-hâai	róng-hâi
ร้อน	ron	rɔ́ɔn	rón
ร้อย	roi	rɔ́ɔi	rói
ร้อยละ	roi-la	rɔ́ɔi-lá	rói-lá
ร้าง	rang	ráang	ráng
ร้าน	ran	ráan	rán
ร้านกาแฟ	ran-ka-fae	ráan-gaa-fɛɛ	rán-ka-fae
ร้านขายยา	ran-khai-ya	ráan-kǎai-yaa	rán-khǎi-ya
ร้านค้า	ran-kha	ráan-káa	rán-khá
ร้านสะดวกซื้อ	ran-sa-duak-sue	ráan-sà-dùuak-sʉ́ʉ	rán-sà-dùak-súe
ร้านหนังสือ	ran-nang-sue	ráan-nǎng-sʉ̌ʉ	rán-nǎng-sǔe
ร้านอาหาร	ran-a-han	ráan-aa-hǎan	rán-a-hǎn
ร้าย	rai	ráai	rái
ร้ายกาจ	rai-kat	ráai-gàat	rái-kàt
ร้ายแรง	rai-raeng	ráai-rɛɛng	rái-raeng
ฤดู	rue-du	rʉ́-duu	rúe-du
ฤดูร้อน	rue-du-ron	rʉ́-duu-rɔ́ɔn	rúe-du-rón
ฤดูหนาว	rue-du-nao	rʉ́-duu-nǎao	rúe-du-nǎo
ฤดูใบไม้ผลิ	rue-du-bai-mai-phli	rʉ́-duu-bai-máai-plì	rúe-du-bai-mái-phlì
ฤดูใบไม้ร่วง	rue-du-bai-mai-ruang	rʉ́-duu-bai-máai-rûuang	rúe-du-bai-mái-rûang
ลง	long	long	long
ลงชื่อ	long-chue	long-chʉ̂ʉ	long-chûe
ลงมือ	long-mue	long-mʉʉ	long-mue
ลงโทษ	long-thot	long-tôot	long-thôt
ลงไป	long-pai	long-bpai	long-pai
ลด	lot	lót	lót
ลบ	lop	lóp	lóp
ลม	lom	lom	lom
ลมบ้าหมู	lom-ba-mu	lom-bâa-mǔu	lom-bâ-mǔ
ลมหายใจ	lom-hai-chai	lom-hǎai-jai	lom-hǎi-chai
ลอง	long	lɔɔng	long
ลอนดอน	lon-don	lɔn-dɔn	lon-don
ลอย	loi	lɔɔi	loi
ละ	la	lá	lá
ละคร	la-khon	lá-kɔɔn	lá-khon
ละครสัตว์	la-khon-sat	lá-kɔɔn-sàt	lá-khon-sàt
ละมุน	la-mun	lá-mun	lá-mun
ละเอียด	la-iat	lá-ìiat	lá-ìat
ลักพาตัว	lak-pha-tua	lák-paa-dtuua	lák-pha-tua
ลักษณะ	lak-sa-na	lák-sà-nà	lák-sà-nà
ลัง	lang	lang	lang
ลังเล	lang-le	lang-lee	lang-le
ลับ	lap	láp	láp
ลา	la	laa	la
ลาก	lak	lâak	lâk
ลาก่อน	la-kon	laa-gɔ̀ɔn	la-kòn
ลานจอดรถ	lan-chot-rot	laan-jɔ̀ɔt-rót	lan-chòt-rót
ลามก	la-mok	laa-mók	la-mók
ลามะ	la-ma	laa-má	la-má
ลายนิ้วมือ	lai-nio-mue	laai-níu-mʉʉ	lai-nío-mue
ลายเซ็น	lai-sen	laai-sen	lai-sen
ลาว	lao	laao	lao
ลาออก	la-ok	laa-ɔ̀ɔk	la-òk
ลาเวนเดอร์	la-wen-doe	laa-wen-də̂ə	la-wen-dôe
ลำ	lam	lam	lam
ลำดับ	lam-dap	lam-dàp	lam-dàp
ลำบาก	lam-bak	lam-bàak	lam-bàk
ลำพัง	lam-phang	lam-pang	lam-phang
ลำไส้	lam-sai	lam-sâi	lam-sâi
ลิง	ling	ling	ling
ลิงค์	ling	ling	ling
ลิตร	lit	lít	lít
ลิปสติก	lip-sa-tik	líp-sà-dtìk	líp-sà-tìk
ลิฟต์	lip	líp	líp
ลิลลี่	lin-li	lin-lîi	lin-lî
ลิ้น	lin	lín	lín
ลียง	li-yong	lii-yong	li-yong
ลึก	luek	lʉ́k	lúek
ลึกลับ	luek-lap	lʉ́k-láp	lúek-láp
ลืม	luem	lʉʉm	luem
ลุก	luk	lúk	lúk
ลุง	lung	lung	lung
ลุย	lui	lui	lui
ลูก	luk	lûuk	lûk
ลูกกวาด	luk-kwat	lûuk-gwàat	lûk-kwàt
ลูกค้า	luk-kha	lûuk-káa	lûk-khá
ลูกจ้าง	luk-chang	lûuk-jâang	lûk-châng
ลูกชาย	luk-chai	lûuk-chaai	lûk-chai
ลูกผสม	luk-pha-som	lûuk-pà-sǒm	lûk-phà-sǒm
ลูกผู้ชาย	luk-phu-chai	lûuk-pûu-chaai	lûk-phû-chai
ลูกพี่ลูกน้อง	luk-phi-luk-nong	lûuk-pîi-lûuk-nɔ́ɔng	lûk-phî-lûk-nóng
ลูกศร	luk-son	lûuk-sɔ̌ɔn	lûk-sǒn
ลูกสะใภ้	luk-sa-phai	lûuk-sà-pái	lûk-sà-phái
ลูกสาว	luk-sao	lûuk-sǎao	lûk-sǎo
ลูกหมา	luk-ma	lûuk-mǎa	lûk-mǎ
ลูกอม	luk-om	lûuk-om	lûk-om
ลูกเรือ	luk-ruea	lûuk-rʉʉa	lûk-ruea
ลูกเสือ	luk-suea	lûuk-sʉ̌ʉa	lûk-sǔea
ลูกโป่ง	luk-pong	lûuk-bpòong	lûk-pòng
ลูกไม้	luk-mai	lûuk-máai	lûk-mái
ลูกไม้หล่นไม่ไกลต้น	luk-mai-lon-mai-kain-ton	lûuk-máai-lòn-mâi-gail-dtôn	lûk-mái-lòn-mâi-kain-tôn
ล็อก	lok	lɔ́k	lók
ล่มจม	lom-chom	lôm-jom	lôm-chom
ล่วงหน้า	luang-na	lûuang-nâa	lûang-nâ
ล่อ	lo	lɔ̂ɔ	lô
ล่องหน	long-hon	lɔ̂ng-hǒn	lông-hǒn
ล่ะ	la	lâ	lâ
ล่า	la	lâa	lâ
ล่าช้า	la-cha	lâa-cháa	lâ-chá
ล้ม	lom	lóm	lóm
ล้มละลาย	lom-la-lai	lóm-lá-laai	lóm-lá-lai
ล้มเลิก	lom-loek	lóm-lə̂ək	lóm-lôek
ล้มเหลว	lom-leo	lóm-lěeo	lóm-lěo
ล้วน	luan	lúuan	lúan
ล้อ	lo	lɔ́ɔ	ló
ล้อเล่น	lo-len	lɔ́ɔ-lên	ló-lên
ล้า	la	láa	lá
ล้าง	lang	láang	láng
ล้างมือ	lang-mue	láang-mʉʉ	láng-mue
ล้างหน้า	lang-na	láang-nâa	láng-nâ
ล้างแค้น	lang-khaen	láang-kɛ́ɛn	láng-kháen
ล้าน	lan	láan	lán
ล้าสมัย	la-sa-mai	láa-sà-mǎi	lá-sà-mǎi
วง	wong	wong	wong
วงกลม	wong-klom	wong-glom	wong-klom
วงดนตรี	wong-don-tri	wong-don-dtrii	wong-don-tri
วรรค	wak	wák	wák
วอชิงตัน	wo-ching-tan	wɔɔ-ching-dtan	wo-ching-tan
วอดก้า	wot-ka	wɔ́t-gâa	wót-kâ
วอน	won	wɔɔn	won
วอลเลย์บอล	won-le-bon	wɔn-lêe-bɔn	won-lê-bon
วะ	wa	wá	wá
วัง	wang	wang	wang
วัฒนธรรม	wat-tha-na-tham	wát-tá-ná-tam	wát-thá-ná-tham
วัด	wat	wát	wát
วัตต์	wat	wàt	wàt
วัตถุ	wat-thu	wát-tù	wát-thù
วัตถุประสงค์	wat-thu-pra-song	wát-tù-bprà-sǒng	wát-thù-prà-sǒng
วัตถุระเบิด	wat-thu-ra-boet	wát-tù-rá-bə̀ət	wát-thù-rá-bòet
วัน	wan	wan	wan
วันขอบคุณพระเจ้า	wan-khop-khun-phra-chao	wan-kɔ̀ɔp-kun-prá-jâao	wan-khòp-khun-phrá-châo
วันทยาวุธ	wan-tha-ya-wut	wan-tá-yaa-wút	wan-thá-ya-wút
วันที่	wan-thi	wan-tîi	wan-thî
วันนี้	wan-ni	wan-níi	wan-ní
วันพฤหัส	wan-phrue-hat	wan-prʉ́-hàt	wan-phrúe-hàt
วันวาเลนไทน์	wan-wa-len-thai	wan-waa-len-taai	wan-wa-len-thai
วันหยุด	wan-yut	wan-yùt	wan-yùt
วันเกิด	wan-koet	wan-gə̀ət	wan-kòet
วัย	wai	wai	wai
วัยรุ่น	wai-run	wai-rûn	wai-rûn
วัว	wua	wuua	wua
วา	wa	waa	wa
วาง	wang	waang	wang
วางสาย	wang-sai	waang-sǎai	wang-sǎi
วางเดิมพัน	wang-doem-phan	waang-dəəm-pan	wang-doem-phan
วางแผน	wang-phaen	waang-pɛ̌ɛn	wang-phǎen
วาซาบิ	wa-sa-bi	waa-saa-bì	wa-sa-bì
วาด	wat	wâat	wât
วาดรูป	wat-rup	wâat-rûup	wât-rûp
วาติกัน	wa-ti-kan	waa-dtì-gan	wa-tì-kan
วาน	wan	waan	wan
วานร	wa-non	waa-nɔɔn	wa-non
วานิลลา	wa-ni-la	wá-ní-laa	wá-ní-la
วาย	wai	waai	wai
วาว	wao	waao	wao
วิก	wik	wík	wík
วิกลจริต	wi-kon-cha-rit	wí-gon-jà-rìt	wí-kon-chà-rìt
วิชา	wi-cha	wí-chaa	wí-cha
วิญญาณ	win-yan	win-yaan	win-yan
วิดีโอ	wi-di-o	wí-dii-oo	wí-di-o
วิตกกังวล	wi-tok-kang-won	wí-dtòk-gang-won	wí-tòk-kang-won
วิตามิน	wi-ta-min	wí-dtaa-min	wí-ta-min
วิทยาลัย	wit-tha-ya-lai	wít-tá-yaa-lai	wít-thá-ya-lai
วิทยาศาสตร์	wit-tha-ya-sat	wít-tá-yaa-sàat	wít-thá-ya-sàt
วิทยุ	wit-tha-yu	wít-tá-yú	wít-thá-yú
วิธี	wi-thi	wí-tii	wí-thi
วิธีการ	wi-thi-kan	wí-tii-gaan	wí-thi-kan
วิน	win	win	win
วินัย	wi-nai	wí-nai	wí-nai
วินาที	wi-na-thi	wí-naa-tii	wí-na-thi
วิปครีม	wip-khrim	wíp-kriim	wíp-khrim
วิว	wio	wiu	wio
วิวัฒนาการ	wi-wat-tha-na-kan	wí-wát-tá-naa-gaan	wí-wát-thá-na-kan
วิศวกร	wit-sa-wa-kon	wít-sà-wá-gɔɔn	wít-sà-wá-kon
วิศวกรรม	wit-sa-wa-kam	wít-sà-wá-gam	wít-sà-wá-kam
วิหาร	wi-han	wí-hǎan	wí-hǎn
วิเคราะห์	wi-khro	wí-krɔ́	wí-khró
วิเศษ	wi-set	wí-sèet	wí-sèt
วิ่ง	wing	wîng	wîng
วี	wi	wii	wi
วีดีโอ	wi-di-o	wii-dii-oo	wi-di-o
วีรบุรุษ	wi-ra-bu-rut	wii-rá-bù-rùt	wi-rá-bù-rùt
วุฒิสมาชิก	wut-thi-sa-ma-chik	wút-tí-sà-maa-chík	wút-thí-sà-ma-chík
วุ่นวาย	wun-wai	wûn-waai	wûn-wai
ว่องไว	wong-wai	wɔ̂ng-wai	wông-wai
ว่ะ	wa	wâ	wâ
ว่า	wa	wâa	wâ
ว่าง	wang	wâang	wâng
ว่างงาน	wang-ngan	wâang-ngaan	wâng-ngan
ว่าที่	wa-thi	wâa-tîi	wâ-thî
ว่าย	wai	wâai	wâi
ว่ายน้ำ	wai-nam	wâai-náam	wâi-nám
ว่าว	wao	wâao	wâo
ว๊าย	wai	wáai	wái
ศตวรรษ	sa-ta-wat	sà-dtà-wát	sà-tà-wát
ศพ	sop	sòp	sòp
ศรัทธา	sat-tha	sàt-taa	sàt-tha
ศักดิ์ศรี	sak-si	sàk-sǐi	sàk-sǐ
ศักดิ์สิทธิ์	sak-sit	sàk-sìt	sàk-sìt
ศัตรู	sat-tru	sàt-dtruu	sàt-tru
ศัลยแพทย์	san-la-ya-phaet	sǎn-lá-yá-pɛ̂ɛt	sǎn-lá-yá-phâet
ศาล	san	sǎan	sǎn
ศาลเจ้า	san-chao	sǎan-jâao	sǎn-châo
ศาลเตี้ย	san-tia	sǎan-dtîia	sǎn-tîa
ศาสตราจารย์	sat-tra-chan	sàat-dtraa-jaan	sàt-tra-chan
ศาสนา	sat-sa-na	sàat-sà-nǎa	sàt-sà-nǎ
ศิลปะ	sin-la-pa	sǐn-lá-bpà	sǐn-lá-pà
ศิลปิน	sin-la-pin	sǐn-lá-bpin	sǐn-lá-pin
ศีลธรรม	sin-tham	sǐin-tam	sǐn-tham
ศึกษา	suek-sa	sʉ̀k-sǎa	sùek-sǎ
ศุกร์	suk	sùk	sùk
ศูนย์	sun	sǔun	sǔn
ส.ว.	so-wo	sɔ̌ɔ-wɔɔ	sǒ-wo
ส.ส.	so-so	sɔ̌ɔ-sɔ̌ɔ	sǒ-sǒ
สกปรก	sok-ka-prok	sòk-gà-bpròk	sòk-kà-pròk
สกี	sa-ki	sà-gii	sà-ki
สก็อต	sa-kot	sà-gɔ̀t	sà-kòt
สงคราม	song-khram	sǒng-kraam	sǒng-khram
สงครามโลกครั้งที่สอง	song-khram-lok-khrang-thi-song	sǒng-kraam-lôok-kráng-tîi-sɔ̌ɔng	sǒng-khram-lôk-khráng-thî-sǒng
สงบ	sa-ngop	sà-ngòp	sà-ngòp
สงบสุข	sa-ngop-suk	sà-ngòp-sùk	sà-ngòp-sùk
สงสัย	song-sai	sǒng-sǎi	sǒng-sǎi
สงสาร	song-san	sǒng-sǎan	sǒng-sǎn
สด	sot	sòt	sòt
สดชื่น	sot-chuen	sòt-chʉ̂ʉn	sòt-chûen
สดใส	sot-sai	sòt-sǎi	sòt-sǎi
สตรอเบอร์รี่	sa-tro-boe-ri	sà-dtrɔɔ-bəə-rîi	sà-tro-boe-rî
สตรี	sa-tri	sà-dtrii	sà-tri
สถานการณ์	sa-tha-na-kan	sà-tǎa-ná-gaan	sà-thǎ-ná-kan
สถานที่	sa-than-thi	sà-tǎan-tîi	sà-thǎn-thî
สถานทูต	sa-than-thut	sà-tǎan-tûut	sà-thǎn-thût
สถานะ	sa-tha-na	sà-tǎa-ná	sà-thǎ-ná
สถานี	sa-tha-ni	sà-tǎa-nii	sà-thǎ-ni
สถานีตำรวจ	sa-tha-ni tam-ruat	sà-tǎa-nii dtam-rùuat	sà-thǎ-ni tam-rùat
สถาบัน	sa-tha-ban	sà-tǎa-ban	sà-thǎ-ban
สถาปนิก	sa-tha-pa-nik	sà-tǎa-bpà-ník	sà-thǎ-pà-ník
สถิติ	sa-thi-ti	sà-tì-dtì	sà-thì-tì
สน	son	sǒn	sǒn
สนทนา	son-tha-na	sǒn-tá-naa	sǒn-thá-na
สนับสนุน	sa-nap-sa-nun	sà-nàp-sà-nǔn	sà-nàp-sà-nǔn
สนาม	sa-nam	sà-nǎam	sà-nǎm
สนามบิน	sa-nam-bin	sà-nǎam-bin	sà-nǎm-bin
สนามเด็กเล่น	sa-nam-dek-len	sà-nǎam-dèk-lên	sà-nǎm-dèk-lên
สนิท	sa-nit	sà-nìt	sà-nìt
สนุก	sa-nuk	sà-nùk	sà-nùk
สนุกสนาน	sa-nuk-sa-nan	sà-nùk-sà-nǎan	sà-nùk-sà-nǎn
สนใจ	son-chai	sǒn-jai	sǒn-chai
สบาย	sa-bai	sà-baai	sà-bai
สบายดี	sa-bai-di	sà-baai-dii	sà-bai-di
สบายดีหรือ	sa-bai di rue	sà-baai dii rʉ̌ʉ	sà-bǎi di rue
สบายดีไหม	sa-bai di mai	sà-baai dii mǎi	sà-bǎi di mai
สบู่	sa-bu	sà-bùu	sà-bù
สปริง	sa-pring	sà-bpring	sà-pring
สปอร์ต	sa-pot	sà-bpɔ̀ɔt	sà-pòt
สปา	sa-pa	sà-bpaa	sà-pa
สปาย	sa-pai	sà-bpaai	sà-pai
สภา	sa-pha	sà-paa	sà-pha
สภาพอากาศ	sa-phap-a-kat	sà-pâap-aa-gàat	sà-phâp-a-kàt
สมควร	som-khuan	sǒm-kuuan	sǒm-khuan
สมน้ำหน้า	som-nam-na	sǒm-nám-nâa	sǒm-nám-nâ
สมบัติ	som-bat	sǒm-bàt	sǒm-bàt
สมบูรณ์	som-bun	sǒm-buun	sǒm-bun
สมมุติ	som-mut	sǒm-mút	sǒm-mút
สมอง	sa-mong	sà-mɔ̌ɔng	sà-mǒng
สมัย	sa-mai	sà-mǎi	sà-mǎi
สมาชิก	sa-ma-chik	sà-maa-chík	sà-ma-chík
สมาชิกรัฐสภา	sa-ma-chik-rat-tha-sa-pha	sà-maa-chík-rát-tà-sà-paa	sà-ma-chík-rát-thà-sà-pha
สมาธิ	sa-ma-thi	sà-maa-tí	sà-ma-thí
สมุด	sa-mut	sà-mùt	sà-mùt
สมุดบันทึก	sa-mut-ban-thuek	sà-mùt-ban-tʉ́k	sà-mùt-ban-thúek
สมุนไพร	sa-mun-phrai	sà-mǔn-prai	sà-mǔn-phrai
สมเหตุสมผล	som-het-som-phon	sǒm-hèet-sǒm-pǒn	sǒm-hèt-sǒm-phǒn
สระว่ายน้ำ	sa-wai-nam	sà-wâai-náam	sà-wâi-nám
สรุป	sa-rup	sà-rùp	sà-rùp
สร้อย	soi	sɔ̂i	sôi
สร้อยข้อมือ	soi-kho-mue	sɔ̂i-kɔ̂ɔ-mʉʉ	sôi-khô-mue
สร้อยคอ	soi-kho	sɔ̂i-kɔɔ	sôi-kho
สร้าง	sang	sâang	sâng
สร้างสรรค์	sang-san	sâang-sǎn	sâng-sǎn
สลัด	sa-lat	sà-làt	sà-làt
สวดมนต์	suat-mon	sùuat-mon	sùat-mon
สวน	suan	sǔuan	sǔan
