word	reading
أشاع	ʼašāʻa
أشاهد	ʼušāhidu
أشباح	ʼašbāḥ
أشتري	ʼaštarī
أشتية	ʼaštiya
أشجار	ʼašjār
أشجع	ʼašjaʻ
أشخاص	ʼašḵāṣ
أشد	ʼašadd
أشرب	ʼašraba
أشرت	ʼašartu
أشرح	ʼašraḥu
أشرطة	ʼašriṭa
أشرف	ʼašraf
أشعة	ʼašiʻʻa
أشعر	ʼašʻara
أشعل	ʼašʻal
أشغال	ʼašḡāl
أشغل	ʼašḡala
أشفق	ʼašfaqa
أشقاء	ʼašiqqāʼ
أشقر	ʼašqar
أشك	ʼašukku
أشكال	ʼaškāl
أشكو	ʼaškū
أشل	ʼašalla
أشلاء	ʼašlāʼ
أشم	ʼašamm
أشمط	ʼašmaṭ
أشهد	ʼašhada
أشهر	ʼašhara
أشياء	ʼašyāʼ
أصاب	ʼaṣāba
أصابع	ʼaṣābiʻ
أصب	ʼaṣbin
أصبت	ʼaṣabtu
أصبح	ʼaṣbaḥa
أصبحت	ʼaṣbaḥtu
أصبحنا	ʼaṣbaḥnā
أصبحوا	ʼaṣbaḥū
أصبر	ʼaṣbara
أصبنا	ʼaṣabnā
أصح	ʼaṣaḥḥ
أصحاب	ʼaṣḥāb
أصحو	ʼaṣḥū
أصدر	ʼaṣdara
أصدق	ʼaṣdaq
أصدقاء	ʼaṣdiqāʼ
أصر	ʼaṣarra
أصرخ	ʼaṣraḵa
أصعب	ʼaṣʻab
أصغ	ʼaṣḡu
أصغر	ʼaṣḡar
أصغى	ʼaṣḡā
أصغيتم	ʼaṣḡaytum
أصف	ʼaṣaf
أصفاد	ʼaṣfād
أصفر	ʼaṣfar
أصل	ʼaṣl
أصلا	ʼaṣlan
أصلب	ʼaṣlab
أصلح	ʼaṣlaḥa
أصلحت	ʼaṣlaḥtu
أصلع	ʼaṣlaʻ
أصلى	ʼaṣlā
أصلي	ʼaṣliyy
أصلية	ʼaṣliyya
أصم	ʼaṣamm
أصمت	ʼaṣmata
أصناف	ʼaṣnāf
أصنع	ʼaṣnaʻ
أصهب	ʼaṣhab
أصوات	ʼaṣwāt
أصوب	ʼaṣwab
أصوت	ʼuṣawwitu
أصول	ʼuṣūl
أصيب	ʼuṣība
أصيبت	ʼuṣībat
أصير	ʼaṣīru
أصيل	ʼaṣīl
أضاء	ʼaḍāʼa
أضاءت	ʼaḍāʼat
أضاع	ʼaḍāʻa
أضاف	ʼaḍāfa
أضبط	ʼaḍbaṭa
أضحك	ʼaḍḥaka
أضحى	ʼaḍḥā
أضخم	ʼaḍḵam
أضرب	ʼaḍraba
أضطر	ʼaḍṭarru
أضع	ʼaḍaʻu
أضعت	ʼaḍaʻtu
أضعف	ʼaḍʻaf
أضف	ʼuḍif
أضفت	ʼaḍaftu
أضلاع	ʼaḍlāʻ
أضواء	ʼaḍwāʼ
أضيع	ʼuḍayyiʻu
أضيف	ʼuḍīfa
أطاع	ʼaṭāʻa
أطاق	ʼaṭāqa
أطال	ʼaṭāla
أطباء	ʼaṭibbāʼ
أطباق	ʼaṭbāq
أطبخ	ʼaṭbuḵu
أطبق	ʼaṭbaqa
أطراف	ʼaṭrāf
أطرح	ʼaṭraḥu
أطعم	ʼaṭʻama
أطعمة	ʼaṭʻima
أطعمت	ʼaṭʻamtu
أطفأ	ʼaṭfaʼa
أطفأت	ʼaṭfaʼtu
أطفئ	ʼuṭfiʼa
أطفال	ʼaṭfāl
أطلب	ʼaṭlaba
أطلس	ʼaṭlas
أطلسي	ʼaṭlasiyy
أطلع	ʼaṭlaʻa
أطلق	ʼaṭlaqa
أطلقت	ʼaṭlaqtu
أطول	ʼaṭwal
أطيب	ʼaṭyab
أطير	ʼaṭyar
أظل	ʼaẓallu
أظن	ʼaẓunnu
أظهر	ʼaẓhara
أظهرت	ʼaẓhartu
أعاد	ʼaʻāda
أعاق	ʼaʻāqa
أعال	ʼaʻāla
أعبر	ʼaʻburu
أعتد	ʼaʻtada
أعترف	ʼaʻtarifu
أعتقد	ʼaʻtaqidu
أعجب	ʼaʻjaba
أعجبت	ʼaʻjabtu
أعجز	ʼaʻjaza
أعجوبة	ʼuʻjūba
أعد	ʼaʻadda
أعداء	ʼaʻdāʼ
أعداد	ʼaʻdād
أعدت	ʼaʻadtu
أعددت	ʼaʻdadtu
أعدل	ʼaʻdal
أعذر	ʼaʻḏara
أعراض	ʼaʻrāḍ
أعرب	ʼaʻraba
أعرج	ʼaʻraj
أعرف	ʼaʻraf
أعز	ʼaʻazza
أعزب	ʼaʻzab
أعزل	ʼaʻzal
أعشق	ʼaʻšaqu
أعصاب	ʼaʻṣāb
أعضاء	ʼaʻḍāʼ
أعطت	ʼaʻṭat
أعطى	ʼaʻṭā
أعطيت	ʼaʻṭaytu
أعظم	ʼaʻẓam
أعقاب	ʼaʻqāb
أعقب	ʼaʻqub
أعقد	ʼaʻqad
أعلام	ʼaʻlām
أعلق	ʼaʻlaqu
أعلم	ʼaʻlama
أعلن	ʼaʻlana
أعلنت	ʼaʻlantu
أعلى	ʼaʻlā
أعماق	ʼaʻmāq
أعمال	ʼaʻmāl
أعمدة	ʼaʻmida
أعمق	ʼaʻmaq
أعمل	ʼaʻmala
أعمى	ʼaʻmā
أعواد	ʼaʻwād
أعوام	ʼaʻwām
أعود	ʼaʻūdu
أعياد	ʼaʻyād
أعيد	ʼuʻayyidu
أعيش	ʼaʻīšu
أعين	ʼaʻyun
أغار	ʼaḡāra
أغبى	ʼaḡbā
أغبياء	ʼaḡbiyāʼ
أغر	ʼaḡarr
أغرب	ʼaḡrub
أغرق	ʼaḡraqa
أغرى	ʼaḡrā
أغسطس	ʼaḡusṭus
أغسل	ʼaḡsilu
أغصان	ʾaḡṣān
أغضب	ʼaḡḍaba
أغطية	ʼaḡṭiya
أغفر	ʼaḡfiru
أغلاط	ʼaḡlāṭ
أغلاق	ʼaḡlāq
أغلب	ʼaḡlab
أغلبية	ʼaḡlabiyya
أغلفة	ʼaḡlifa
أغلق	ʼaḡlaqa
أغلقت	ʼaḡlaqtu
أغلى	ʼaḡlā
أغمض	ʼaḡmaḍa
أغمي	ʼuḡmiya
أغنى	ʼaḡnā
أغنياء	ʼaḡniyāʼ
أغنية	ʼuḡniyya
أغيب	ʼaḡību
أغير	ʼaḡyar
أف	ʼuffin
أفاد	ʼafāda
أفاعي	ʼafāʻī
أفاق	ʼafāqa
أفتح	ʼaftaḥ
أفجر	ʼafjara
أفخر	ʼafḵar
أفراد	ʼafrād
أفرط	ʼafraṭa
أفرغ	ʼafraḡa
أفرق	ʼafraqa
أفريقي	ʼafrīqiyy
أفريقيا	ʼafrīqiyā
أفسح	ʼafsaḥa
أفسد	ʼafsada
أفشل	ʼafšala
أفصح	ʼafṣaḥa
أفضل	ʼafḍal
أفضلية	ʼafḍaliyya
أفعال	ʼafʻāl
أفعل	ʼafʻal
أفعى	ʼafʻan
أفغانستان	ʼafḡānistān
أفق	ʼufuq
أفقد	ʼafqada
أفكار	ʼafkār
أفكر	ʼafkuru
أفلاطوني	ʼaflāṭūniyy
أفلام	ʼaflām
أفلت	ʼaflata
أفلح	ʼaflaḥa
أفلس	ʼaflasa
أفهم	ʼafhama
أفواه	ʼafwāh
أقاتل	ʼuqātilu
أقارب	ʼaqārib
أقال	ʼaqāla
أقام	ʼaqāma
أقبح	ʼaqbaḥ
أقبض	ʼaqbaḍa
أقبل	ʼaqbala
أقتل	ʼaqtal
أقحم	ʼaqḥama
أقدام	ʼaqdām
أقدر	ʼaqdar
أقدم	ʼaqdama
أقر	ʼaqarra
أقرأ	ʼaqraʼa
أقراص	ʼaqrāṣ
أقرب	ʼaqrab
أقرباء	ʼaqribāʼ
أقربون	ʼaqrabūn
أقزام	ʼaqzām
أقسام	ʼaqsām
أقسم	ʼaqsama
أقسى	ʼaqsā
أقصد	ʼaqṣidu
أقصر	ʼaqṣara
أقصى	ʼaqṣā
أقض	ʼaqaḍḍa
أقضى	ʼaqḍā
أقضي	ʼaqḍī
أقطع	ʼaqṭaʻu
أقف	ʼaqaffa
أقفاص	ʼaqfāṣ
أقفال	ʼaqfāl
أقفل	ʼaqfala
أقفلت	ʼaqfaltu
أقل	ʼaqall
أقلام	ʼaqlām
أقلع	ʼaqlaʻa
أقلق	ʼaqlaqa
أقمار	ʼaqmār
أقنع	ʼaqnaʻa
أقنعة	ʼaqniʻa
أقوال	ʼaqwāl
أقود	ʼaqwad
أقول	ʼaqūlu
أقوم	ʼaqūmu
أقوى	ʼaqwā
أقوياء	ʼaqwiyāʼ
أقيس	ʼaqyas
أقيم	ʼuqīma
أكاد	ʼakādu
أكاديمي	ʼakādīmiyy
أكاديمية	ʼakādīmiyya
أكاذيب	ʼakāḏīb
أكبر	ʼakbar
أكتاف	ʼaktāf
أكتب	ʼaktaba
أكتوبر	ʼuktūbir
أكثر	ʼakṯar
أكد	ʼakkada
أكذب	ʼakḏaba
أكره	ʼakraha
أكسب	ʼaksibu
أكسجين	ʼuksijīn
أكسفورد	ʼuksfūrd
أكسل	ʼaksal
أكسيد	ʼuksīd
أكشف	ʼakšafa
أكشن	ʼakšin
أكف	ʼakuff
أكل	ʼakala
أكلة	ʼakla
أكلت	ʼakaltu
أكلم	ʼukallimu
أكلنا	ʼakalnā
أكلوا	ʼakalū
أكمام	ʼakmām
أكمل	ʼakmal
أكن	ʼakun
أكواب	ʼakwāb
أكون	ʼakūnu
أكياس	ʼakyās
أكيد	ʼakīd
أكيس	ʼakyas
أل	ʼalla
ألا	ʼallā
ألاباما	ʼalābāmā
ألاسكا	ʼalāskā
ألباني	ʼalbāniyy
ألبانية	ʼalbāniyya
ألبس	ʼalbasa
ألبوم	ʼalbūm
ألت	ʼallat
ألتقي	ʼaltaqī
ألحق	ʼalḥaqa
ألد	ʼaladd
ألذ	ʼalaḏḏ
ألزمت	ʼalzamtu
ألسنة	ʼalsina
ألطف	ʼalṭaf
ألعاب	ʼalʻāb
ألعب	ʼalʻaba
ألغاز	ʼalḡāz
ألغام	ʼalḡām
ألغوا	ʼalḡaw
ألغى	ʼalḡā
ألغينا	ʼalḡaynā
ألف	ʼalif
ألفان	ʼalfān
ألفت	ʼallaftu
ألفى	ʼalfā
ألفي	ʼallifī
ألفين	ʼalfīn
ألق	ʼalaqa
ألقاب	ʼalqāb
ألقت	ʼalqat
ألقوا	ʼalqaw
ألقى	ʼalqā
ألقي	ʼulqiya
ألم	ʼalima
ألماس	ʼalmās
ألمان	ʼalmān
ألماني	ʼalmāniyy
ألمانيا	ʼalmāniyā
ألمانية	ʼalmāniyya
ألمح	ʼalmaḥa
ألهى	ʼalhā
ألو	ʼalw
ألوان	ʼalwān
ألي	ʼuliyy
ألياف	ʼalyāf
أليس	ʼalyas
أليف	ʼalīf
ألين	ʼalyan
أم	ʼumm
أما	ʼammā
أمارس	ʼumārisu
أمازيغ	ʼamāzīḡ
أمازيغي	ʼamāzīḡiyy
أمازيغية	ʼamāzīḡiyya
أماكن	ʼamākin
أمام	ʼamāma
أمامي	ʼamāmiyy
أمان	ʼamān
أمانة	ʼamāna
أمة	ʼumma
أمت	ʼummati
أمتعة	ʼamtiʻa
أمثال	ʼamṯāl
أمثل	ʼamṯal
أمثلة	ʼamṯila
أمد	ʼamadda
أمر	ʼamara
أمراء	ʼumarāʼ
أمراض	ʼamrāḍ
أمرض	ʼamraḍ
أمرك	ʼamraka
أمرنا	ʼamarnā
أمري	ʼammirī
أمريكا	ʼamrīkā
أمريكي	ʼamrīkiyy
أمريكية	ʼamrīkiyya
أمريكيون	ʼamrīkiyyūn
أمزح	ʼamzaḥu
أمس	ʼamsi
أمستردام	ʼamstirdām
أمسك	ʼamsaka
أمسكت	ʼamsaktu
أمسكوا	ʼamsakū
أمشى	ʼamšā
أمشي	ʼamšī
أمضى	ʼamḍā
